loss,grad_norm,learning_rate,epoch,step,training_loss,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8924,2.9942333698272705,1.48e-05,1.408,880.0,,,,,,,,,,,,,,
2.2475,2.340575933456421,1.44e-05,1.424,890.0,,,,,,,,,,,,,,
2.1125,2.47090220451355,1.4000000000000001e-05,1.44,900.0,,,,,,,,,,,,,,
2.2485,2.6992058753967285,1.3600000000000002e-05,1.456,910.0,,,,,,,,,,,,,,
2.3807,2.433504343032837,1.32e-05,1.472,920.0,,,,,,,,,,,,,,
2.343,2.24080491065979,1.2800000000000001e-05,1.488,930.0,,,,,,,,,,,,,,
2.0365,2.1574904918670654,1.24e-05,1.504,940.0,,,,,,,,,,,,,,
2.1817,2.1781744956970215,1.2e-05,1.52,950.0,,,,,,,,,,,,,,
2.3024,1.8838714361190796,1.16e-05,1.536,960.0,,,,,,,,,,,,,,
1.9138,2.544703960418701,1.1200000000000001e-05,1.552,970.0,,,,,,,,,,,,,,
2.1481,2.974698305130005,1.08e-05,1.568,980.0,,,,,,,,,,,,,,
2.1073,2.2263967990875244,1.04e-05,1.584,990.0,,,,,,,,,,,,,,
1.9715,2.4981346130371094,1e-05,1.6,1000.0,,,,,,,,,,,,,,
1.8375,2.0686259269714355,9.600000000000001e-06,1.616,1010.0,,,,,,,,,,,,,,
2.1885,2.9812326431274414,9.2e-06,1.6320000000000001,1020.0,,,,,,,,,,,,,,
2.0635,2.264498710632324,8.8e-06,1.6480000000000001,1030.0,,,,,,,,,,,,,,
1.921,2.4690182209014893,8.400000000000001e-06,1.6640000000000001,1040.0,,,,,,,,,,,,,,
2.2579,2.443218469619751,8.000000000000001e-06,1.6800000000000002,1050.0,,,,,,,,,,,,,,
2.1853,2.0530614852905273,7.6e-06,1.696,1060.0,,,,,,,,,,,,,,
2.2652,2.1251535415649414,7.2e-06,1.712,1070.0,,,,,,,,,,,,,,
2.0082,2.5633561611175537,6.800000000000001e-06,1.728,1080.0,,,,,,,,,,,,,,
1.8048,1.9631716012954712,6.4000000000000006e-06,1.744,1090.0,,,,,,,,,,,,,,
2.0087,2.3920371532440186,6e-06,1.76,1100.0,,,,,,,,,,,,,,
1.9411,2.3578336238861084,5.600000000000001e-06,1.776,1110.0,,,,,,,,,,,,,,
2.3749,2.83439564704895,5.2e-06,1.792,1120.0,,,,,,,,,,,,,,
2.0943,2.6315765380859375,4.800000000000001e-06,1.808,1130.0,,,,,,,,,,,,,,
1.9156,2.297208786010742,4.4e-06,1.8239999999999998,1140.0,,,,,,,,,,,,,,
2.311,2.999859094619751,4.000000000000001e-06,1.8399999999999999,1150.0,,,,,,,,,,,,,,
2.0008,2.291757583618164,3.6e-06,1.8559999999999999,1160.0,,,,,,,,,,,,,,
2.0419,2.8919432163238525,3.2000000000000003e-06,1.8719999999999999,1170.0,,,,,,,,,,,,,,
2.1452,2.3374834060668945,2.8000000000000003e-06,1.888,1180.0,,,,,,,,,,,,,,
1.9965,2.68119740486145,2.4000000000000003e-06,1.904,1190.0,,,,,,,,,,,,,,
2.1654,2.4554672241210938,2.0000000000000003e-06,1.92,1200.0,,,,,,,,,,,,,,
1.9544,2.3862128257751465,1.6000000000000001e-06,1.936,1210.0,,,,,,,,,,,,,,
2.1305,2.5699658393859863,1.2000000000000002e-06,1.952,1220.0,,,,,,,,,,,,,,
2.2339,3.342519998550415,8.000000000000001e-07,1.968,1230.0,,,,,,,,,,,,,,
2.2842,1.8027100563049316,4.0000000000000003e-07,1.984,1240.0,,,,,,,,,,,,,,
2.0449,2.8317031860351562,0.0,2.0,1250.0,,,,,,,,,,,,,,
,,,2.0,,2.0449,,,,,,,,,,,,,
,,,2.0,1250.0,,2.834120750427246,0.2616,0.1231,0.2255,0.2616,1425.8042,0.491,0.245,,,,,
,,,2.0,1250.0,,,,,,,,,,9971.4774,0.501,0.125,1837523298539520.0,2.236248765563965
