loss,grad_norm,learning_rate,epoch,step,training_loss,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6696,7.266414642333984,7.600000000000001e-06,2.24,1400.0,,,,,,,,,,,,,,
0.6611,5.785829544067383,7.44e-06,2.2560000000000002,1410.0,,,,,,,,,,,,,,
0.6988,5.412260055541992,7.280000000000001e-06,2.2720000000000002,1420.0,,,,,,,,,,,,,,
0.6815,6.610285758972168,7.1200000000000004e-06,2.288,1430.0,,,,,,,,,,,,,,
0.6206,7.091185569763184,6.96e-06,2.304,1440.0,,,,,,,,,,,,,,
0.7153,4.656271934509277,6.8e-06,2.32,1450.0,,,,,,,,,,,,,,
0.6998,6.469944953918457,6.64e-06,2.336,1460.0,,,,,,,,,,,,,,
0.6892,7.162212371826172,6.48e-06,2.352,1470.0,,,,,,,,,,,,,,
0.7295,6.514486789703369,6.3200000000000005e-06,2.368,1480.0,,,,,,,,,,,,,,
0.6293,6.913439750671387,6.16e-06,2.384,1490.0,,,,,,,,,,,,,,
0.7466,5.444185256958008,6e-06,2.4,1500.0,,,,,,,,,,,,,,
0.7049,5.338807582855225,5.84e-06,2.416,1510.0,,,,,,,,,,,,,,
0.6446,7.2936320304870605,5.68e-06,2.432,1520.0,,,,,,,,,,,,,,
0.746,6.666527271270752,5.52e-06,2.448,1530.0,,,,,,,,,,,,,,
0.7235,7.7269415855407715,5.36e-06,2.464,1540.0,,,,,,,,,,,,,,
0.6333,6.697358131408691,5.2e-06,2.48,1550.0,,,,,,,,,,,,,,
0.6443,6.5048298835754395,5.04e-06,2.496,1560.0,,,,,,,,,,,,,,
0.5773,6.336040019989014,4.88e-06,2.512,1570.0,,,,,,,,,,,,,,
0.6064,5.020485877990723,4.72e-06,2.528,1580.0,,,,,,,,,,,,,,
0.7399,7.362367153167725,4.56e-06,2.544,1590.0,,,,,,,,,,,,,,
0.7688,7.122730731964111,4.4e-06,2.56,1600.0,,,,,,,,,,,,,,
0.7162,6.973775386810303,4.24e-06,2.576,1610.0,,,,,,,,,,,,,,
0.6877,7.652043342590332,4.080000000000001e-06,2.592,1620.0,,,,,,,,,,,,,,
0.6653,6.3476409912109375,3.92e-06,2.608,1630.0,,,,,,,,,,,,,,
0.6827,6.422011852264404,3.76e-06,2.624,1640.0,,,,,,,,,,,,,,
0.6709,7.118440628051758,3.6e-06,2.64,1650.0,,,,,,,,,,,,,,
0.6845,7.922611713409424,3.44e-06,2.656,1660.0,,,,,,,,,,,,,,
0.6683,7.139736652374268,3.2800000000000004e-06,2.672,1670.0,,,,,,,,,,,,,,
0.6381,4.1247711181640625,3.1199999999999998e-06,2.6879999999999997,1680.0,,,,,,,,,,,,,,
0.594,7.5309271812438965,2.96e-06,2.7039999999999997,1690.0,,,,,,,,,,,,,,
0.7091,6.744112014770508,2.8000000000000003e-06,2.7199999999999998,1700.0,,,,,,,,,,,,,,
0.7088,5.9104084968566895,2.6399999999999997e-06,2.7359999999999998,1710.0,,,,,,,,,,,,,,
